Index	Annotator	Subset	Genre	ID	Complex_binary	Complex_probabilistic	Start_index	End_index	Native_complex	Non_native_complex	Expression	Context	Annotation
0	0	Train	News	3126F2F5F8448LZMOARE9SIEM1GEPV	1	0.2	43	77	4	0	suspicion of assisting an offender	A man and woman, both aged 28, arrested on suspicion of assisting an offender were released, without charge, on Saturday evening.	not MWE
1	0	Train	News	3IZPORCT1FA14863R339ZQF6FZWHR6	0	0	8	36	0	0	authorities should annul the	Russian authorities should annul the parliamentary vote results and hold a new election, ex-Soviet leader Mikhail Gorbachev urged Wednesday as popular indignation grew over widespread reports of alleged election fraud.	not MWE
2	0	Train	WikiNews	32CAVSKPCEQIGPD6T8VTCEMJ71T1U6	1	0.1	135	165	1	1	amnesty for illegal immigrants	#23-5 He announced his candidacy this past March with a sixteen-page open letter in which he outlined the six pillars of his campaign: amnesty for illegal immigrants, reinstatement of the military draft, a promise to serve only a single presidential term, and calls for tax reform, deficit reduction, and corporate responsibility.	not MWE but contains MWE(s)
3	0	Train	WikiNews	32CAVSKPCEQIGPD6T8VTCEMJ71T1U6	1	0.1	167	202	1	1	reinstatement of the military draft	#23-5 He announced his candidacy this past March with a sixteen-page open letter in which he outlined the six pillars of his campaign: amnesty for illegal immigrants, reinstatement of the military draft, a promise to serve only a single presidential term, and calls for tax reform, deficit reduction, and corporate responsibility.	not MWE
4	0	Train	WikiNews	37VHPF5VYC445VGR62J8XINLE7SC8R	1	0.05	123	138	0	1	people on board	#7-12 These include a Boeing 737 en route to Iran, which crashed shortly after take-off in 2008, killing 68 of at least 90 people on board.	not MWE but contains MWE(s)
5	0	Train	WikiNews	3OEWW2KGQJCHVF9LDF3FEAV3EC8OD6	1	0.05	128	154	1	0	evolved the same behaviour	#42-105 For example, once we find the source of the medicine in nature... would species without access to this source also have evolved the same behaviour in the lab?	not MWE
6	0	Train	Wikipedia	3XD2A6FGFNVKQHOX8GFMCJMELN4S9D	1	0.2	108	121	2	2	moiety ligate	In certain organometallic compounds such as ferrocene or dibenzenechromium , the pi orbitals of the organic moiety ligate the metal .	not MWE
7	0	Train	Wikipedia	3D17ECOUOEWYHV0NEOZSP5WJVVH31N	1	0.1	187	208	2	0	IP address is blocked	Occasionally readers who have never or rarely edited before , or not from that location , with no intention of registering an account , click on edit only to find that editing from their IP address is blocked , for something they did n't do .	not MWE but contains MWE(s)
8	0	Train	Wikipedia	36FFXPMST9PY7VENZBM55VA17B9HOV	1	0.1	126	150	2	0	expatriates particularly	Al - ` Ain has a higher proportion of Emirati nationals than elsewhere in the country , but the majority of its residents are expatriates particularly from the Indian sub-continent .	not MWE
9	0	Train	Wikipedia	3VJ4PFXFJ38EADQ6PROMNFFMC27AUQ	1	0.05	22	33	0	1	that stands	Another Baroque piece that stands is the Chapel of Nuestra Señora del Rosario , which is a recognizable feature of the architecture of Quito .	not MWE
10	0	Train	Wikipedia	32L724R85LLGOQ18KTH5U7G6HTKPID	1	0.05	84	104	0	1	contains information	In addition , Arovell publishes a magazine about literature , music and art , which contains information about new books and public events .	not MWE
11	0	Train	Wikipedia	3YLTXLH3DF7GSVQOEBZKUVFRHG5PHK	1	0.05	8	23	1	0	the prospect of	Fearing the prospect of facing other large armies and exhausted by years of campaigning , Alexander 's army mutinied at the Hyphasis River , refusing to march further east .	not MWE
12	0	Train	WikiNews	3ZQA3IO31BSN3KT9XMJKD8UUPF51OT	1	0.1	223	241	0	2	bound by decisions	#1-4 May's speech stressed the need for friendliness between Britain and the EU but also ruled out any deal that did not allow the British government to control immigration, or which would require Britain to continue being bound by decisions of the European Court of Justice.	not MWE
13	0	Train	WikiNews	3DWGDA5POF5IT426YY5Y80O2L821VV	1	0.05	18	36	0	1	nailed his scrotum	#3-17 In 2013, he nailed his scrotum in Moscow's Red Square naming the art as "Fixation".	not MWE
14	0	Train	WikiNews	3AXFSPQOYQZ0SOWKO860UEH2RVEJFT	1	0.05	53	77	0	1	Y-tong [aerated concrete	#42-31 We then housed the ants in nests I made using Y-tong [aerated concrete].	not MWE but contains MWE(s)
15	0	Train	Wikipedia	34XASH8KLQN2K9RZ58FXM0NNY24PMT	1	0.05	185	191	0	1	a Leaf	After spending two years in the Royal Canadian Navy during World War II , Stewart returned to the NHL in 1945 and had his best season , leading the league with 37 goals - the last time a Leaf led the League in goals .	not MWE
16	0	Train	Wikipedia	3126F2F5F8448LZMOARE9SIEP0DPE4	1	0.05	54	62	0	1	bark off	They are used for digging for roots and stripping the bark off trees for food , for fighting each other during mating season , and for defending themselves against predators .	not MWE
17	0	Train	Wikipedia	3126F2F5F8448LZMOARE9SIEP0DPE4	1	0.05	54	68	0	1	bark off trees	They are used for digging for roots and stripping the bark off trees for food , for fighting each other during mating season , and for defending themselves against predators .	not MWE
18	0	Train	News	3AC6MFV69KJA6ZSU1KXMLTH5NFRHZ8	1	0.25	92	110	3	2	sole turning point	On the anniversary of bin Laden's killing, Crocker said he did not believe there would be a sole turning point in the war.	not MWE but contains MWE(s)
19	0	Train	WikiNews	34O39PNDK69RDV3HRBTDDFC8MEGBRV	1	0.05	133	155	1	0	emotion and aggression	#11-5 The system excited two different sets of neurons, both located in the amygdala, which is the part of the brain associated with emotion and aggression.	not MWE
